2025-06-26 16:53:04,931 WARNING player_0 selected disabled action 9; fallback to 3
2025-06-26 16:53:04,955 WARNING player_1 selected disabled action 9; fallback to 3
2025-06-26 16:53:05,753 WARNING player_0 selected disabled action 9; fallback to 0
2025-06-26 16:53:07,619 WARNING player_0 selected disabled action 2; fallback to 0
2025-06-26 16:53:09,310 WARNING player_1 selected disabled action 1; fallback to 6
2025-06-26 16:53:09,429 WARNING player_0 selected disabled action 2; fallback to 8
2025-06-26 16:53:09,433 WARNING player_1 selected disabled action 7; fallback to 3
2025-06-26 16:53:09,540 WARNING player_1 selected disabled action 1; fallback to 0
2025-06-26 16:53:10,075 WARNING player_0 selected disabled action 9; fallback to 2
2025-06-26 16:53:11,790 WARNING player_0 selected disabled action 8; fallback to 1
2025-06-26 16:53:12,176 WARNING player_1 selected disabled action 5; fallback to 3
2025-06-26 16:53:13,535 WARNING player_0 selected disabled action 1; fallback to 8
2025-06-26 16:53:13,538 WARNING player_1 selected disabled action 5; fallback to 3
2025-06-26 16:53:13,843 WARNING player_0 selected disabled action 0; fallback to 3
2025-06-26 16:53:15,121 WARNING player_0 selected disabled action 1; fallback to 3
2025-06-26 16:53:15,253 WARNING player_0 selected disabled action 1; fallback to 3
2025-06-26 16:53:15,253 WARNING player_1 selected disabled action 1; fallback to 0
2025-06-26 16:53:15,341 WARNING player_0 selected disabled action 8; fallback to 3
2025-06-26 16:53:15,554 WARNING player_1 selected disabled action 1; fallback to 0
2025-06-26 16:53:18,626 WARNING player_1 selected disabled action 9; fallback to 0
2025-06-26 16:53:18,626 WARNING player_1 selected disabled action 1; fallback to 0
2025-06-26 16:53:18,646 WARNING player_1 selected disabled action 3; fallback to 9
2025-06-26 16:53:23,441 ERROR [TIMEOUT] race_get queue=0 events=[False, False] exc=
